nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure
      1619, 2.864999523E-02, 1.246868051E-01, 8.701594708E-02, 1.012969243E+05
      1620, 2.865380143E-02, 1.247365674E-01, 8.741463413E-02, 1.011318358E+05
      1621, 2.865711926E-02, 1.247799472E-01, 8.776218439E-02, 1.002825571E+05
      1622, 2.866000848E-02, 1.248177227E-01, 8.806483473E-02, 9.938498074E+04
      1623, 2.866252207E-02, 1.248505875E-01, 8.832814173E-02, 9.861018737E+04
      1624, 2.866470713E-02, 1.248791570E-01, 8.855703532E-02, 9.787190948E+04
      1625, 2.866660531E-02, 1.249039752E-01, 8.875587385E-02, 9.713566247E+04
      1626, 2.866825322E-02, 1.249255215E-01, 8.892849862E-02, 9.637814237E+04
      1627, 2.866968314E-02, 1.249442173E-01, 8.907828633E-02, 9.557654595E+04
      1628, 2.867092328E-02, 1.249604324E-01, 8.920819857E-02, 9.463372429E+04
      1629, 2.867199847E-02, 1.249744903E-01, 8.932082784E-02, 9.363114604E+04
      1630, 2.867144137E-02, 1.249870001E-01, 8.941840129E-02, 9.078426294E+04
      1631, 4.391685028E-03, 1.095263714E-01, 9.082298751E-03, 9.911265316E+04
      1632, 5.029538015E-03, 1.097618370E-01, 1.015926804E-02, 9.879561583E+04
      1633, 5.751503902E-03, 1.100118766E-01, 1.136458756E-02, 9.892588005E+04
      1634, 6.545438098E-03, 1.102695695E-01, 1.272031106E-02, 9.910447364E+04
      1635, 7.386044611E-03, 1.105882924E-01, 1.424224324E-02, 9.898228763E+04
      1636, 8.255748405E-03, 1.109627712E-01, 1.594923988E-02, 9.833210974E+04
      1637, 9.168920727E-03, 1.113680829E-01, 1.784508103E-02, 9.741219790E+04
      1638, 1.015311499E-02, 1.118212710E-01, 1.991615232E-02, 9.659574858E+04
      1639, 1.121307496E-02, 1.123323811E-01, 2.215745728E-02, 9.614963686E+04
      1640, 1.233566843E-02, 1.129005685E-01, 2.456974026E-02, 9.596512521E+04
      1641, 1.349601597E-02, 1.135181505E-01, 2.715486276E-02, 9.581138846E+04
      1642, 1.467140398E-02, 1.141920908E-01, 2.990343271E-02, 9.558939679E+04
      1643, 1.585650903E-02, 1.149020279E-01, 3.279880152E-02, 9.537062838E+04
      1644, 1.704331933E-02, 1.156508051E-01, 3.581435131E-02, 9.531448404E+04
      1645, 1.822147282E-02, 1.163996025E-01, 3.892980964E-02, 9.551954878E+04
      1646, 1.935528402E-02, 1.171683445E-01, 4.211592145E-02, 9.582948440E+04
      1647, 2.048743995E-02, 1.178997678E-01, 4.533126781E-02, 9.657692571E+04
      1648, 2.154258658E-02, 1.186245642E-01, 4.855448500E-02, 9.749366108E+04
      1649, 2.253357367E-02, 1.192918520E-01, 5.175252922E-02, 9.837714105E+04
      1650, 2.344897010E-02, 1.199217690E-01, 5.488749034E-02, 9.934717870E+04
      1651, 2.428154573E-02, 1.205025175E-01, 5.793071720E-02, 1.002726609E+05
      1652, 2.502224954E-02, 1.210127009E-01, 6.086013446E-02, 1.011108866E+05
      1653, 2.567172796E-02, 1.214686185E-01, 6.364958117E-02, 1.018561802E+05
      1654, 2.624492612E-02, 1.219059324E-01, 6.627301244E-02, 1.025002084E+05
      1655, 2.673021951E-02, 1.222859563E-01, 6.872827551E-02, 1.030248693E+05
      1656, 2.713850456E-02, 1.226216019E-01, 7.100512359E-02, 1.034175285E+05
      1657, 2.746681941E-02, 1.228964163E-01, 7.310490291E-02, 1.036689838E+05
      1658, 2.773925927E-02, 1.231529060E-01, 7.502074368E-02, 1.038320283E+05
      1659, 2.796431948E-02, 1.233904117E-01, 7.675782152E-02, 1.039120432E+05
